EXEC_FULLNAME,EXECRANK,CO_PER_ROL,compustat_company,CEOANN,AGE,GVKEY,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,PCEO,TITLE,GENDER,CITY,STATE,NAICSDESC,TICKER,NAICS
James F. Palmer,,34188,NORTHROP GRUMMAN CORP,,61,7985,2011,,20070312,,,Chief Financial Officer and Corporate Vice President,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
James F. Pitts,,37296,NORTHROP GRUMMAN CORP,,60,7985,2011,,,,,vp;president-electronics systems,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gary W. Ervin,,42260,NORTHROP GRUMMAN CORP,,53,7985,2011,,,,,"Corporate Vice President, President of Aerospace Systems Sector and Member of Corporate Policy Council",MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Linda A. Mills,,43754,NORTHROP GRUMMAN CORP,,61,7985,2011,,,,,Corporate Vice President of Operations,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,51,7985,2012,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
James F. Palmer,,34188,NORTHROP GRUMMAN CORP,,62,7985,2012,,20070312,,,Chief Financial Officer and Corporate Vice President,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
James F. Pitts,,37296,NORTHROP GRUMMAN CORP,,61,7985,2012,,,,,vp;president-electronics systems,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gary W. Ervin,,42260,NORTHROP GRUMMAN CORP,,54,7985,2012,,,,,"Corporate Vice President, President of Aerospace Systems Sector and Member of Corporate Policy Council",MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Linda A. Mills,,43754,NORTHROP GRUMMAN CORP,,62,7985,2012,,,,,Corporate Vice President of Operations,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,52,7985,2013,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
James F. Palmer,,34188,NORTHROP GRUMMAN CORP,,63,7985,2013,,20070312,,,Chief Financial Officer and Corporate Vice President,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Linda A. Mills,,43754,NORTHROP GRUMMAN CORP,,63,7985,2013,,,,,Corporate Vice President of Operations,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gloria A. Flach,,48767,NORTHROP GRUMMAN CORP,,54,7985,2013,,,,,Chief Operating Officer,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Thomas E. Vice,,48768,NORTHROP GRUMMAN CORP,,50,7985,2013,,,,,Corporate Vice President and President of Northrop Grumman Aerospace Systems,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,53,7985,2014,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
James F. Palmer,,34188,NORTHROP GRUMMAN CORP,,64,7985,2014,,20070312,,,Chief Financial Officer and Corporate Vice President,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Linda A. Mills,,43754,NORTHROP GRUMMAN CORP,,64,7985,2014,,,,,Corporate Vice President of Operations,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gloria A. Flach,,48767,NORTHROP GRUMMAN CORP,,55,7985,2014,,,,,Chief Operating Officer,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Thomas E. Vice,,48768,NORTHROP GRUMMAN CORP,,51,7985,2014,,,,,Corporate Vice President and President of Northrop Grumman Aerospace Systems,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,54,7985,2015,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
James F. Palmer,,34188,NORTHROP GRUMMAN CORP,,65,7985,2015,,20070312,,,Chief Financial Officer and Corporate Vice President,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gloria A. Flach,,48767,NORTHROP GRUMMAN CORP,,56,7985,2015,,,,,Chief Operating Officer,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Thomas E. Vice,,48768,NORTHROP GRUMMAN CORP,,52,7985,2015,,,,,Corporate Vice President and President of Northrop Grumman Aerospace Systems,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kenneth L. Bedingfield,4,52537,NORTHROP GRUMMAN CORP,,42,7985,2015,,,,,Corporate VP & CFO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kathy J. Warden,1,52538,NORTHROP GRUMMAN CORP,,43,7985,2015,20190101,,,CEO,"Chairman, CEO & President",FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,55,7985,2016,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gloria A. Flach,,48767,NORTHROP GRUMMAN CORP,,57,7985,2016,,,,,Chief Operating Officer,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Thomas E. Vice,,48768,NORTHROP GRUMMAN CORP,,53,7985,2016,,,,,Corporate Vice President and President of Northrop Grumman Aerospace Systems,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kenneth L. Bedingfield,,52537,NORTHROP GRUMMAN CORP,,43,7985,2016,,,,,Corporate VP & CFO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kathy J. Warden,,52538,NORTHROP GRUMMAN CORP,,44,7985,2016,20190101,,,CEO,"Chairman, CEO & President",FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,56,7985,2017,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Gloria A. Flach,,48767,NORTHROP GRUMMAN CORP,,58,7985,2017,,,,,Chief Operating Officer,FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kenneth L. Bedingfield,,52537,NORTHROP GRUMMAN CORP,,44,7985,2017,,,,,Corporate VP & CFO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kathy J. Warden,,52538,NORTHROP GRUMMAN CORP,,45,7985,2017,20190101,,,CEO,"Chairman, CEO & President",FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Janis G. Pamiljans,2,58823,NORTHROP GRUMMAN CORP,,56,7985,2017,,,,,Corporate VP & President of Aeronautics Systems Sector,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Wesley G. Bush,,30956,NORTHROP GRUMMAN CORP,CEO,57,7985,2018,20100101,,20181231,,Chairman & CEO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kenneth L. Bedingfield,,52537,NORTHROP GRUMMAN CORP,,45,7985,2018,,,,,Corporate VP & CFO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kathy J. Warden,,52538,NORTHROP GRUMMAN CORP,,46,7985,2018,20190101,,,CEO,"Chairman, CEO & President",FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Janis G. Pamiljans,,58823,NORTHROP GRUMMAN CORP,,57,7985,2018,,,,,Corporate VP & President of Aeronautics Systems Sector,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Mark A. Caylor,3,61639,NORTHROP GRUMMAN CORP,,53,7985,2018,,,,,Corporate VP & President of Mission Systems Sector,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Blake E. Larson,,61640,NORTHROP GRUMMAN CORP,,58,7985,2018,,,,,,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kenneth L. Bedingfield,,52537,NORTHROP GRUMMAN CORP,,46,7985,2019,,,,,Corporate VP & CFO,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Kathy J. Warden,,52538,NORTHROP GRUMMAN CORP,CEO,47,7985,2019,20190101,,,CEO,"Chairman, CEO & President",FEMALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Janis G. Pamiljans,,58823,NORTHROP GRUMMAN CORP,,58,7985,2019,,,,,Corporate VP & President of Aeronautics Systems Sector,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Mark A. Caylor,,61639,NORTHROP GRUMMAN CORP,,54,7985,2019,,,,,Corporate VP & President of Mission Systems Sector,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
Christopher T. Jones,5,63616,NORTHROP GRUMMAN CORP,,54,7985,2019,,,,,Corporate Vice President & President of Technology Services,MALE,Falls Church,VA,"Search, Detection, Navigation, Guidance, Aeronauti",NOC,334511
David Allen Hoyt,,18685,WELLS FARGO & CO,,54,8007,2010,,,,,Senior Executive Vice President of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Mark C. Oman,,23598,WELLS FARGO & CO,,55,8007,2010,,,,,Head of Home & Consumer Finance Group and Senior Executive Vice President,MALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,56,8007,2010,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Howard I. Atkins,,25057,WELLS FARGO & CO,,59,8007,2010,,,,,senior executive vp & chief finance officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,50,8007,2010,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,52,8007,2010,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
David Allen Hoyt,,18685,WELLS FARGO & CO,,55,8007,2011,,,,,Senior Executive Vice President of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Mark C. Oman,,23598,WELLS FARGO & CO,,56,8007,2011,,,,,Head of Home & Consumer Finance Group and Senior Executive Vice President,MALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,57,8007,2011,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Howard I. Atkins,,25057,WELLS FARGO & CO,,60,8007,2011,,,,,senior executive vp & chief finance officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,51,8007,2011,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,53,8007,2011,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",7,45253,WELLS FARGO & CO,,50,8007,2011,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
David Allen Hoyt,,18685,WELLS FARGO & CO,,56,8007,2012,,,,,Senior Executive Vice President of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,58,8007,2012,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,52,8007,2012,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,54,8007,2012,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,,51,8007,2012,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,50,8007,2012,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David Allen Hoyt,,18685,WELLS FARGO & CO,,57,8007,2013,,,,,Senior Executive Vice President of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,59,8007,2013,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,53,8007,2013,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,55,8007,2013,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,,52,8007,2013,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,51,8007,2013,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,60,8007,2014,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,54,8007,2014,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,56,8007,2014,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,,53,8007,2014,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,52,8007,2014,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
John Richard Shrewsberry,4,50086,WELLS FARGO & CO,,48,8007,2014,,,,,Senior EVP & CFO,MALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,61,8007,2015,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,55,8007,2015,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,57,8007,2015,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,,54,8007,2015,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,53,8007,2015,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
John Richard Shrewsberry,,50086,WELLS FARGO & CO,,49,8007,2015,,,,,Senior EVP & CFO,MALE,San Francisco,CA,Commercial Banking,WFC,522110
John G. Stumpf,,25056,WELLS FARGO & CO,CEO,62,8007,2016,20070626,,20161012,,Chairman and Chief Executive Officer,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Carrie L. Tolstedt,,30332,WELLS FARGO & CO,,56,8007,2016,,,,,Senior Executive Vice President of Community Banking,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,58,8007,2016,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,,55,8007,2016,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,54,8007,2016,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
John Richard Shrewsberry,,50086,WELLS FARGO & CO,,50,8007,2016,,,,,Senior EVP & CFO,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Michael J. Loughlin,,54156,WELLS FARGO & CO,,60,8007,2016,,,,,Chief Risk Officer and Senior Executive Vice President,MALE,San Francisco,CA,Commercial Banking,WFC,522110
David M. Carroll,,39075,WELLS FARGO & CO,,59,8007,2017,,,,,Senior Executive Vice President of Wealth and Investment Management,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,CEO,56,8007,2017,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,55,8007,2017,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
John Richard Shrewsberry,,50086,WELLS FARGO & CO,,51,8007,2017,,,,,Senior EVP & CFO,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Petros G. Pelos,6,58828,WELLS FARGO & CO,,53,8007,2017,,,,,Head of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Jonathan Geoffrey Weiss,,58829,WELLS FARGO & CO,,59,8007,2017,,,,,Co-Head of Investment Banking and Capital Markets,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,CEO,57,8007,2018,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
Avid Modjtabai,,46731,WELLS FARGO & CO,,56,8007,2018,,,,,"Senior EVP of Payments, Virtual Solutions & Innovation",FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
John Richard Shrewsberry,,50086,WELLS FARGO & CO,,52,8007,2018,,,,,Senior EVP & CFO,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Petros G. Pelos,,58828,WELLS FARGO & CO,,54,8007,2018,,,,,Head of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Mary Tabb Mack,5,61018,WELLS FARGO & CO,,55,8007,2018,,,,,,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
"Timothy J. Sloan, M.B.A.",,45253,WELLS FARGO & CO,,58,8007,2019,20161012,,20190328,,"CEO, President & Director",MALE,San Francisco,CA,Commercial Banking,WFC,522110
John Richard Shrewsberry,,50086,WELLS FARGO & CO,,53,8007,2019,,,,,Senior EVP & CFO,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Petros G. Pelos,,58828,WELLS FARGO & CO,,55,8007,2019,,,,,Head of Wholesale Banking,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Mary Tabb Mack,,61018,WELLS FARGO & CO,,56,8007,2019,,,,,,FEMALE,San Francisco,CA,Commercial Banking,WFC,522110
C. Allen Parker,2,63233,WELLS FARGO & CO,CEO,64,8007,2019,20190328,,20191021,CEO,Senior EVP & General Counsel,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Charles W. Scharf,1,63234,WELLS FARGO & CO,,54,8007,2019,20191021,,,,,MALE,San Francisco,CA,Commercial Banking,WFC,522110
Saul Van Beurden,3,63235,WELLS FARGO & CO,,49,8007,2019,,,,,,MALE,San Francisco,CA,Commercial Banking,WFC,522110
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,54,8479,2010,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
John C. Compton,,30462,PEPSICO INC,,49,8479,2010,,,,,Chief Executive Officer of PepsiCo Americas Foods and Member of Liquid Refreshment Beverage Oversight Council,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Richard A. Goodman,,32294,PEPSICO INC,,62,8479,2010,,,,,chief finance officer,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Massimo Fasanella dAmore,,39103,PEPSICO INC,,54,8479,2010,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,3,43372,PEPSICO INC,,48,8479,2010,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Eric J. Foss,,43373,PEPSICO INC,,52,8479,2010,,,,,Chief Executive Officer of Pepsi Beverages Company,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,55,8479,2011,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,,43372,PEPSICO INC,,49,8479,2011,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Eric J. Foss,,43373,PEPSICO INC,,53,8479,2011,,,,,Chief Executive Officer of Pepsi Beverages Company,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Mehmood Khan,,45281,PEPSICO INC,,52,8479,2011,,,,,"Vice Chairman, Chief Scientific Officer of Global Research & Development and Executive Vice President",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Maura J. Abeln Smith,,45282,PEPSICO INC,,56,8479,2011,,,,,,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Zein Abdalla,,45283,PEPSICO INC,,52,8479,2011,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,56,8479,2012,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,,43372,PEPSICO INC,,50,8479,2012,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Mehmood Khan,,45281,PEPSICO INC,,53,8479,2012,,,,,"Vice Chairman, Chief Scientific Officer of Global Research & Development and Executive Vice President",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Zein Abdalla,,45283,PEPSICO INC,,53,8479,2012,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Brian C. Cornell,,46739,PEPSICO INC,,53,8479,2012,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Saad Abdul-Latif,,46740,PEPSICO INC,,58,8479,2012,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,57,8479,2013,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,,43372,PEPSICO INC,,51,8479,2013,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Mehmood Khan,,45281,PEPSICO INC,,54,8479,2013,,,,,"Vice Chairman, Chief Scientific Officer of Global Research & Development and Executive Vice President",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Zein Abdalla,,45283,PEPSICO INC,,54,8479,2013,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Brian C. Cornell,,46739,PEPSICO INC,,54,8479,2013,,,,,,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,58,8479,2014,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Albert P. Carey,,34223,PEPSICO INC,,62,8479,2014,,,,,Advisor,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,,43372,PEPSICO INC,,52,8479,2014,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Enderson Guimaraes,,50589,PEPSICO INC,,55,8479,2014,,,,,Chief Executive Officer of Pepsico Europe,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Sanjeev Chadha,,50590,PEPSICO INC,,54,8479,2014,,,,,Chairman of AMENA,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,59,8479,2015,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Albert P. Carey,,34223,PEPSICO INC,,63,8479,2015,,,,,Advisor,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,,43372,PEPSICO INC,,53,8479,2015,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Sanjeev Chadha,,50590,PEPSICO INC,,55,8479,2015,,,,,Chairman of AMENA,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Ramon Luis Laguarta,2,52057,PEPSICO INC,,51,8479,2015,20181003,,,CEO,Chairman & CEO,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Thomas R. Greco,,52058,PEPSICO INC,,57,8479,2015,,,,,Chief Executive Officer of Frito-Lay North America,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
"Indra K. Nooyi, M.P.P.M.",,18812,PEPSICO INC,CEO,60,8479,2016,20061001,19940101,20181003,,Chairman of the Board & CEO,FEMALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Albert P. Carey,,34223,PEPSICO INC,,64,8479,2016,,,,,Advisor,MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Hugh F. Johnston,,43372,PEPSICO INC,,54,8479,2016,,,,,"Vice Chairman, Executive VP & CFO",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
Mehmood Khan,,45281,PEPSICO INC,,57,8479,2016,,,,,"Vice Chairman, Chief Scientific Officer of Global Research & Development and Executive Vice President",MALE,Purchase,NY,Soft Drink and Ice Manufacturing,PEP,31211
